hidden,g,phi,task,mse_control,std_control,mse_lesion_connectivity,std_lesion_connectivity,mse_lesion_activity,std_lesion_activity
16,0.1,tanh,go,-8.64911655459927,-5.995683313387145,-1.4369404456155772,-0.870664787883784,-2.4035981815058243,-1.264993481810812
16,0.1,tanh,discrimination,-9.12210662460323,-7.0967451461293125,-0.7881026206833416,-0.8252643890484421,-0.8061699739359528,-0.7289125047518982
16,0.1,tanh,flop,-9.374450495752583,-6.973889208265373,-5.776403461496665,-5.867242263727474,-5.776403461496665,-5.867242263727474
16,0.1,tanh,integrator,-10.09670810789827,-9.080566063990057,-1.8284039291882692,-1.1591245974267483,-1.248808192748485,-0.6971665805249698
16,0.1,relu,go,-9.176690351266268,-7.161247965860245,-9.176690351266268,-7.161247965860245,-9.176690351266268,-7.161247965860245
16,0.1,relu,discrimination,-3.23166414237039,-1.743377612101717,-3.23166414237039,-1.743377612101717,-3.23166414237039,-1.743377612101717
16,0.1,relu,flop,-9.177694566598184,-6.696331846682702,-9.177694566598184,-6.696331846682702,-9.177694566598184,-6.696331846682702
16,0.1,relu,integrator,-8.818674301347146,-7.3513559152281776,-8.818674301347146,-7.3513559152281776,-8.818674301347146,-7.3513559152281776
16,0.5,tanh,go,-9.216641835065543,-6.925549891156188,-2.1562141974320275,-1.2124862714722602,-0.7197084478600848,-0.60726205139774
16,0.5,tanh,discrimination,-9.121530572529776,-7.24824492900677,-0.2680620343570976,-0.7860437779301588,-0.7686122346907159,-1.1396033548792122
16,0.5,tanh,flop,-9.11645974073921,-6.768997520977183,-5.249424509558324,-5.182712977275064,-5.29040755279053,-5.145190277306273
16,0.5,tanh,integrator,-9.720243127956563,-8.807804923660795,-0.75106576534209,-0.3075837008108187,-0.6992171057135008,-0.26503542279251235
16,0.5,relu,go,-9.266130775805681,-7.3487476372796,-9.266130775805681,-7.3487476372796,-9.266130775805681,-7.3487476372796
16,0.5,relu,discrimination,-9.252945620298716,-7.700610991652203,-9.252945620298716,-7.700610991652203,-9.252945620298716,-7.700610991652203
16,0.5,relu,flop,-9.111220614949929,-7.279031967162903,-9.111220614949929,-7.279031967162903,-9.111220614949929,-7.279031967162903
16,0.5,relu,integrator,-8.393486753724812,-7.68726999736605,-7.734669274051726,-6.036811301615578,-7.734669274051726,-6.036811301615578
16,0.9,tanh,go,-9.200539987567112,-6.939751876339858,-1.5973502617690603,-0.9383343117237735,-1.6112737656119616,-0.9497093230461265
