hidden,g,phi,task,mse_control,std_control,mse_lesion_connectivity,std_lesion_connectivity,mse_lesion_activity,std_lesion_activity
16,0.1,tanh,go,-5.135164211031732,-2.6523246572170556,-1.2933689108269233,-0.8245010505800541,-2.386004358524311,-1.2571107453654482
16,0.1,tanh,discrimination,-7.428591777260947,-5.670035223835592,-0.8220820210321808,-0.884885961670664,-0.8163825540071599,-0.7780953323357872
16,0.1,tanh,flop,-9.24775677370148,-6.6630875090076,-5.885036136441393,-5.826385519617082,-5.885743231400401,-5.8263490407557486
16,0.1,tanh,integrator,-3.06270180200641,-2.466711824278699,-1.8555856586848714,-1.2682642483778022,-1.115112968878505,-0.486944820528822
16,0.1,relu,go,-4.14818037412627,-2.140269659556292,-4.086400265937281,-2.110078136029898,-4.259770646305094,-2.2051348296372173
16,0.1,relu,discrimination,-3.0530002502389815,-1.5947108321775143,-2.992169264070029,-1.5180530149091425,-3.0864162126892003,-1.641702527797735
16,0.1,relu,flop,-8.503904473946005,-6.52134679282115,-8.409446866994166,-6.483595771289692,-8.488676963159058,-6.477654077925704
16,0.1,relu,integrator,-6.552531362459782,-5.950608459312098,-6.671898214512884,-6.057132279777375,-6.58511042218344,-5.964526353696877
16,0.5,tanh,go,-3.7731432911594585,-1.9233396417213158,-2.1930368335681374,-1.240131012349753,-0.7474334132763819,-0.6132833761825383
16,0.5,tanh,discrimination,-6.35799925860577,-2.773833863275217,-0.27003073793613364,-0.778388090499745,-0.7749467426840443,-1.1286753585870892
16,0.5,tanh,flop,-8.956696247245219,-6.804005990491231,-5.199644512538518,-5.174557368900178,-5.1954322140202445,-5.1280419241615345
16,0.5,tanh,integrator,-4.070035682354643,-3.6078315518164863,-0.9792793035286173,-0.4183515458904962,-0.9228574915697481,-0.390806850934236
16,0.5,relu,go,-3.6338806588654413,-1.9176096068655162,-3.3304182205174357,-1.7499807010401283,-3.5020580365485614,-1.8369950636448114
16,0.5,relu,discrimination,-2.8596691996558974,-0.939633716816655,-2.7548817165469814,-0.8516403642191049,-2.9919794483262065,-1.042241393317117
16,0.5,relu,flop,-8.459047574994948,-7.276823816525154,-8.495765726486034,-7.260763172337925,-8.602016377259494,-7.316943208670646
16,0.5,relu,integrator,-7.13188537981433,-6.558298050392962,-7.030733559683994,-6.623014785325582,-6.978309348685457,-6.4250812417513705
16,0.9,tanh,go,-5.477153498517688,-2.8999444955550824,-1.674883709824371,-0.9662591840179604,-1.6513502951519414,-0.9667362868892124
16,0.9,tanh,discrimination,-5.791865570642907,-2.3911880202624114,-2.928032884185709,-1.4732492128294408,-2.886049338017415,-1.5042164044690118
16,0.9,tanh,flop,-9.063851651638458,-7.0003390639297285,-3.822012954209975,-3.7749533698977094,-4.113773419047136,-4.06140994856893
16,0.9,tanh,integrator,-4.614201671573686,-4.145415905702716,1.244247217004815,1.0020488633999123,0.36726793915137274,0.47007352814991055
16,0.9,relu,go,-4.238551533972823,-2.205600076760986,-4.29713607513778,-2.27430861127945,-4.1915118256833885,-2.1901180882959155
16,0.9,relu,discrimination,-5.127468039839541,-2.4615749023298776,-4.606158177568685,-1.82283377808838,-4.701488149091325,-2.2078321063100304
16,0.9,relu,flop,-8.41193266312481,-6.841917304996348,-0.38938371908254626,0.29001005122755497,-0.3965245032597818,0.2860867936557056
16,0.9,relu,integrator,-7.205957838891189,-6.69208543961063,0.3583770786793064,0.3144770756783188,0.360245270570497,0.31050612871834404
32,0.1,tanh,go,-5.346759131486301,-2.7525840626200284,-0.7515237082766579,-0.7144905487840207,-0.42539793890208094,-0.4394989887950119
32,0.1,tanh,discrimination,-6.270264753340048,-3.2212191906526098,-2.3466921989533156,-1.365708900733396,-2.0557009862974653,-1.3423361534917755
32,0.1,tanh,flop,-8.866897974755789,-5.982540804370419,-5.019469094709652,-5.336088458164803,-4.812313387263516,-5.256264876251199
32,0.1,tanh,integrator,-4.640463262993923,-4.191495075643191,-0.5761935496369904,0.04345680313733195,-0.5568303225846523,0.06331037352656853
32,0.1,relu,go,-4.975692103954035,-2.589405216766164,-4.407630469702288,-2.2608675940628906,-5.282651196877493,-2.792984900620134
32,0.1,relu,discrimination,-3.2320136994813202,-1.1490345864959115,-3.3915843776290187,-1.3121366373553116,-3.5906670913797627,-1.4283203091313552
32,0.1,relu,flop,-8.438593908093695,-7.06023612550997,-8.358080927717367,-7.021329830143758,-8.466668635215925,-7.048056336648355
32,0.1,relu,integrator,-8.158374804344117,-7.585486345039487,-8.148545884600754,-7.48112625122682,-8.266007605400228,-7.654062451720183
32,0.5,tanh,go,-6.01526213932792,-3.2209297518487183,-0.35649028876913497,-0.35689109373937306,-0.4189575291807673,-0.41175744761890315
32,0.5,tanh,discrimination,-8.219891812566672,-5.791105339840797,-2.1757897325177544,-0.6514168615087308,-2.710080853412605,-1.3484197065354184
32,0.5,tanh,flop,-9.036118346845694,-7.349161076456475,-5.871987569023383,-5.746730240520008,-5.451945484968989,-5.028076538122238
32,0.5,tanh,integrator,-5.0913610797948605,-4.593644342191135,-1.3933166043590388,-0.6238555357577122,-1.2627752447981522,-0.5085630696939708
32,0.5,relu,go,-4.599240676116365,-2.3849816840258455,-4.800462795952789,-2.498725089384733,-4.68497501467407,-2.4118742682177654
32,0.5,relu,discrimination,-5.862909861977676,-3.8434582962142496,-2.4813164091444393,-1.0242643918998955,-2.7489656339936697,-1.2228003817585908
32,0.5,relu,flop,-7.521401119445403,-6.424658675743745,-0.6001856654824547,0.2162894230608258,-0.5526208494589454,0.2088078865026457
32,0.5,relu,integrator,-7.8598427749176105,-7.193582007742832,-7.859430510855286,-7.148850192997486,-7.889566541698686,-7.332732520844193
32,0.9,tanh,go,-6.462756451249575,-3.493444824465947,-0.01790920306021474,-0.006672840622839758,0.4822437159003762,0.15531256762562906
32,0.9,tanh,discrimination,-7.718668916862736,-6.697514286427872,-2.589780472897765,-1.0087860393894963,-2.4810064359964983,-1.1061636693466443
32,0.9,tanh,flop,-8.71971471147504,-7.063500723705314,-1.2005131433945624,0.002022484762625636,-0.9351212196489499,0.04459629598046397
