hidden_dim,init_type,g,nonlinearity,task,mse_loss
32,random,0.1,tanh,ready_set_go,0.10433405637741089
32,random,0.1,tanh,delay_discrimination,0.003894828027114272
32,random,0.1,tanh,flip_flop,7.38448761694599e-05
32,random,0.1,tanh,integrator,0.0016417487640865147
32,random,0.1,relu,ready_set_go,0.11851681768894196
32,random,0.1,relu,delay_discrimination,0.0003006302358699031
32,random,0.1,relu,flip_flop,7.747497147647664e-05
32,random,0.1,relu,integrator,0.0003286035207565874
32,random,0.5,tanh,ready_set_go,0.04746134206652641
32,random,0.5,tanh,delay_discrimination,5.455200698634144e-05
32,random,0.5,tanh,flip_flop,7.141477180994116e-05
32,random,0.5,tanh,integrator,0.0017852227319963276
32,random,0.5,relu,ready_set_go,0.17267529666423798
32,random,0.5,relu,delay_discrimination,0.00019768061247305013
32,random,0.5,relu,flip_flop,6.55358235235326e-05
32,random,0.5,relu,integrator,0.0005876368377357721
32,random,0.9,tanh,ready_set_go,0.0696380790323019
32,random,0.9,tanh,delay_discrimination,4.721854202216491e-05
32,random,0.9,tanh,flip_flop,8.080405677901581e-05
32,random,0.9,tanh,integrator,0.0006322762637864798
32,random,0.9,relu,ready_set_go,0.1204250268638134
32,random,0.9,relu,delay_discrimination,0.00011808163981186226
32,random,0.9,relu,flip_flop,9.575860894983634e-05
32,random,0.9,relu,integrator,0.0004906719113932922
64,random,0.1,tanh,ready_set_go,0.17003844678401947
64,random,0.1,tanh,delay_discrimination,0.004279860993847251
64,random,0.1,tanh,flip_flop,7.753145837341435e-05
64,random,0.1,tanh,integrator,0.0010474422597326338
64,random,0.1,relu,ready_set_go,0.1164524182677269
64,random,0.1,relu,delay_discrimination,7.82498245825991e-05
64,random,0.1,relu,flip_flop,9.889706780086271e-05
64,random,0.1,relu,integrator,0.0004037840699311346
64,random,0.5,tanh,ready_set_go,0.13661253824830055
64,random,0.5,tanh,delay_discrimination,8.075670848484151e-05
64,random,0.5,tanh,flip_flop,7.829118840163574e-05
64,random,0.5,tanh,integrator,0.0016612620675005019
64,random,0.5,relu,ready_set_go,0.11670858785510063
64,random,0.5,relu,delay_discrimination,0.013144738040864468
64,random,0.5,relu,flip_flop,8.533358050044626e-05
64,random,0.5,relu,integrator,0.00022609841107623652
64,random,0.9,tanh,ready_set_go,0.13852601498365402
64,random,0.9,tanh,delay_discrimination,4.9158790716319345e-05
64,random,0.9,tanh,flip_flop,9.094734195969068e-05
64,random,0.9,tanh,integrator,0.0009622389625292271
64,random,0.9,relu,ready_set_go,0.09671315923333168
64,random,0.9,relu,delay_discrimination,0.008564781863242388
64,random,0.9,relu,flip_flop,8.671637988300063e-05
64,random,0.9,relu,integrator,0.0016539387288503349
128,random,0.1,tanh,ready_set_go,0.19651497900485992
128,random,0.1,tanh,delay_discrimination,0.009491108823567629
128,random,0.1,tanh,flip_flop,8.245430581155233e-05
128,random,0.1,tanh,integrator,0.0017408436979167163
128,random,0.1,relu,ready_set_go,0.12561403587460518
128,random,0.1,relu,delay_discrimination,0.0001502161831012927
128,random,0.1,relu,flip_flop,4.739174255519174e-05
128,random,0.1,relu,integrator,0.0013222320121712983
128,random,0.5,tanh,ready_set_go,0.1669328436255455
128,random,0.5,tanh,delay_discrimination,0.0018938282046292443
128,random,0.5,tanh,flip_flop,7.063502562232316e-05
128,random,0.5,tanh,integrator,0.0020973962382413447
128,random,0.5,relu,ready_set_go,0.10057251900434494
128,random,0.5,relu,delay_discrimination,0.0026948353042826056
128,random,0.5,relu,flip_flop,6.758498420822434e-05
128,random,0.5,relu,integrator,0.0002615784324007109
128,random,0.9,tanh,ready_set_go,0.20420856773853302
128,random,0.9,tanh,delay_discrimination,0.006742624333128333
128,random,0.9,tanh,flip_flop,7.301564983208664e-05
128,random,0.9,tanh,integrator,0.0011932197085116059
128,random,0.9,relu,ready_set_go,0.11763904616236687
128,random,0.9,relu,delay_discrimination,0.0012270394072402269
128,random,0.9,relu,flip_flop,0.00011065244689234532
128,random,0.9,relu,integrator,0.00039518166158813983
256,random,0.1,tanh,ready_set_go,0.14642402529716492
256,random,0.1,tanh,delay_discrimination,0.003502955660223961
256,random,0.1,tanh,flip_flop,9.254658652935177e-05
256,random,0.1,tanh,integrator,0.0006088537629693747
256,random,0.1,relu,ready_set_go,0.12400756776332855
256,random,0.1,relu,delay_discrimination,0.00010773622852866538
256,random,0.1,relu,flip_flop,7.927689148345962e-05
256,random,0.1,relu,integrator,0.00023463349498342723
256,random,0.5,tanh,ready_set_go,0.08361449837684631
256,random,0.5,tanh,delay_discrimination,0.004205501172691584
256,random,0.5,tanh,flip_flop,5.549848356167786e-05
256,random,0.5,tanh,integrator,0.0008814815664663911
256,random,0.5,relu,ready_set_go,0.11911188066005707
256,random,0.5,relu,delay_discrimination,0.006477830233052373
256,random,0.5,relu,flip_flop,9.057177521754056e-05
256,random,0.5,relu,integrator,0.00019917737517971545
256,random,0.9,tanh,ready_set_go,0.11623263731598854
256,random,0.9,tanh,delay_discrimination,0.0012300016333028907
256,random,0.9,tanh,flip_flop,0.00010027573443949223
256,random,0.9,tanh,integrator,0.0006481371819972992
256,random,0.9,relu,ready_set_go,0.11698053777217865
256,random,0.9,relu,delay_discrimination,0.002319557301234454
256,random,0.9,relu,flip_flop,0.00010882237984333187
256,random,0.9,relu,integrator,0.0002549616256146692
