hidden_dim,init_type,g,nonlinearity,task,mse_loss
32,random,0.1,tanh,ready_set_go,0.00013415670400718227
32,random,0.1,tanh,delay_discrimination,0.007867931388318539
32,random,0.1,tanh,flip_flop,8.157112097251229e-05
32,random,0.1,tanh,integrator,0.12321992311626673
32,random,0.1,relu,ready_set_go,0.00010326670599170029
32,random,0.1,relu,delay_discrimination,0.0032925244886428118
32,random,0.1,relu,flip_flop,0.00010333354293834418
32,random,0.1,relu,integrator,0.0018070428050123155
32,random,0.5,tanh,ready_set_go,0.00015210343553917482
32,random,0.5,tanh,delay_discrimination,0.014695955323986709
32,random,0.5,tanh,flip_flop,8.271446495200507e-05
32,random,0.5,tanh,integrator,0.020571420434862375
32,random,0.5,relu,ready_set_go,0.00015996984075172804
32,random,0.5,relu,delay_discrimination,0.004031260963529348
32,random,0.5,relu,flip_flop,0.000130137697851751
32,random,0.5,relu,integrator,0.0023047688882797956
32,random,0.9,tanh,ready_set_go,0.00010295226820744574
32,random,0.9,tanh,delay_discrimination,0.0096857103635557
32,random,0.9,tanh,flip_flop,9.177995889331214e-05
32,random,0.9,tanh,integrator,0.09492465481162071
32,random,0.9,relu,ready_set_go,0.00010751885929494165
32,random,0.9,relu,delay_discrimination,0.0003383971634320915
32,random,0.9,relu,flip_flop,0.00012491829693317413
32,random,0.9,relu,integrator,0.004806941142305732
64,random,0.1,tanh,ready_set_go,0.0001274542919418309
64,random,0.1,tanh,delay_discrimination,0.009066988248378038
64,random,0.1,tanh,flip_flop,0.00011379715942894109
64,random,0.1,tanh,integrator,0.02290683938190341
64,random,0.1,relu,ready_set_go,0.012112240307033062
64,random,0.1,relu,delay_discrimination,0.018209438771009445
64,random,0.1,relu,flip_flop,0.00016477610552101396
64,random,0.1,relu,integrator,0.001888417114969343
64,random,0.5,tanh,ready_set_go,0.0001030992170854006
64,random,0.5,tanh,delay_discrimination,0.024639218201627955
64,random,0.5,tanh,flip_flop,9.297467477153987e-05
64,random,0.5,tanh,integrator,0.019889639224857092
64,random,0.5,relu,ready_set_go,0.00012398627222864889
64,random,0.5,relu,delay_discrimination,0.0035891780789825134
64,random,0.5,relu,flip_flop,0.00016536788825760596
64,random,0.5,relu,integrator,0.0014356196043081582
64,random,0.9,tanh,ready_set_go,0.00021254460443742573
64,random,0.9,tanh,delay_discrimination,0.0032855952667887323
64,random,0.9,tanh,flip_flop,0.0001117470019380562
64,random,0.9,tanh,integrator,0.04775487072765827
64,random,0.9,relu,ready_set_go,0.0001725341207929887
64,random,0.9,relu,delay_discrimination,0.004718067491921829
64,random,0.9,relu,flip_flop,0.0001612930755072739
64,random,0.9,relu,integrator,0.0028522300999611616
128,random,0.1,tanh,ready_set_go,0.00011188678035978228
128,random,0.1,tanh,delay_discrimination,0.012689033523201942
128,random,0.1,tanh,flip_flop,8.90940245881211e-05
128,random,0.1,tanh,integrator,0.02886162791401148
128,random,0.1,relu,ready_set_go,0.00010471778296050616
128,random,0.1,relu,delay_discrimination,0.00800958754552994
128,random,0.1,relu,flip_flop,0.00015770159734529443
128,random,0.1,relu,integrator,0.0009456323750782758
128,random,0.5,tanh,ready_set_go,0.00010726349864853546
128,random,0.5,tanh,delay_discrimination,0.00047768808144610375
128,random,0.5,tanh,flip_flop,0.00010551793457125314
128,random,0.5,tanh,integrator,0.011856357334181666
128,random,0.5,relu,ready_set_go,0.00010801621829159558
128,random,0.5,relu,delay_discrimination,0.0021173657987674233
128,random,0.5,relu,flip_flop,0.0001652772625675425
128,random,0.5,relu,integrator,0.0004902126238448545
128,random,0.9,tanh,ready_set_go,0.00018533982074586675
128,random,0.9,tanh,delay_discrimination,0.03138802573084831
128,random,0.9,tanh,flip_flop,0.00011482107584015466
128,random,0.9,tanh,integrator,0.04348822496831417
128,random,0.9,relu,ready_set_go,9.083019540412351e-05
128,random,0.9,relu,delay_discrimination,0.008867544303939212
128,random,0.9,relu,flip_flop,0.00016954377133515663
128,random,0.9,relu,integrator,0.0005126949108671397
256,random,0.1,tanh,ready_set_go,0.0001836306146287825
256,random,0.1,tanh,delay_discrimination,0.08615785092115402
256,random,0.1,tanh,flip_flop,9.75827279035002e-05
256,random,0.1,tanh,integrator,0.06681179162114859
256,random,0.1,relu,ready_set_go,0.00011725801959983073
256,random,0.1,relu,delay_discrimination,0.028691097162663937
256,random,0.1,relu,flip_flop,0.0001649404402996879
256,random,0.1,relu,integrator,0.017090659122914076
256,random,0.5,tanh,ready_set_go,0.0001091572739824187
256,random,0.5,tanh,delay_discrimination,0.011648909654468298
256,random,0.5,tanh,flip_flop,0.00013630485045723617
256,random,0.5,tanh,integrator,0.0199109329842031
256,random,0.5,relu,ready_set_go,0.00010354661935707554
256,random,0.5,relu,delay_discrimination,0.004751228290842846
256,random,0.5,relu,flip_flop,0.00011450409147073515
256,random,0.5,relu,integrator,0.00038051148294471204
256,random,0.9,tanh,ready_set_go,0.00029946124413982034
256,random,0.9,tanh,delay_discrimination,0.024264477979158983
256,random,0.9,tanh,flip_flop,0.00012561013500089757
256,random,0.9,tanh,integrator,0.059766802471131086
256,random,0.9,relu,ready_set_go,0.00010086161637445912
256,random,0.9,relu,delay_discrimination,0.00013493027654476464
256,random,0.9,relu,flip_flop,0.0002220985115855001
256,random,0.9,relu,integrator,0.0022486833622679114
