Hidden_Dim,Connectivity_Strength,Activation_Function,Prob_Treatment
16,0.1,tanh,0.3057636598919695
16,0.1,relu,0.42067574785125056
16,0.5,tanh,0.323004143761477
16,0.5,relu,0.44028635073280703
16,0.9,tanh,0.3407396115486146
16,0.9,relu,0.46008511544443426
32,0.1,tanh,0.3407396115486146
32,0.1,relu,0.46008511544443426
32,0.5,tanh,0.35893259366518293
32,0.5,relu,0.48001065984441826
32,0.9,tanh,0.3775406687981454
32,0.9,relu,0.5
64,0.1,tanh,0.4158094770645927
64,0.1,relu,0.5399148845555657
64,0.5,tanh,0.4353637081969708
64,0.5,relu,0.5597136492671929
64,0.9,tanh,0.45512110762641994
64,0.9,relu,0.5793242521487495
128,0.1,tanh,0.574442516811659
128,0.1,relu,0.6899744811276125
128,0.5,tanh,0.5938731029341427
128,0.5,relu,0.7068222210935676
128,0.9,tanh,0.6130141761393355
128,0.9,relu,0.7231218051243898
256,0.1,tanh,0.8292045179776256
256,0.1,relu,0.8889440332885924
256,0.5,tanh,0.8402380030563309
256,0.5,relu,0.8965995485417504
256,0.9,tanh,0.8506870654691563
256,0.9,relu,0.9037844582893072
512,0.1,tanh,0.9843267119339514
512,0.1,relu,0.9904346813279084
512,0.5,tanh,0.9855142760025332
512,0.5,relu,0.9911635995393923
512,0.9,tanh,0.9866130821723351
512,0.9,relu,0.9918374288468401
