Hidden_Dim,Connectivity_Strength,Activation_Function,Prob_Treatment
16,0.1,tanh,0.2869998372477183
16,0.1,relu,0.3295988401911314
16,0.5,tanh,0.295254302001909
16,0.5,relu,0.33849684079704756
16,0.9,tanh,0.3036450701761659
16,0.9,relu,0.3475105378072555
32,0.1,tanh,0.3036450701761659
32,0.1,relu,0.34751053780725555
32,0.5,tanh,0.31216866941715965
32,0.5,relu,0.35663485430559827
32,0.9,tanh,0.320821300824607
32,0.9,relu,0.36586440898919936
64,0.1,tanh,0.3384968407970476
64,0.1,relu,0.38461624360881785
64,0.5,tanh,0.34751053780725555
64,0.5,relu,0.3941263315682394
64,0.9,tanh,0.35663485430559827
64,0.9,relu,0.40371730070321216
128,0.1,tanh,0.41338242108267
128,0.1,relu,0.46257015465625045
128,0.5,tanh,0.42311473886795364
128,0.5,relu,0.47252769565540637
128,0.9,tanh,0.4329070950345457
128,0.9,relu,0.48250714233361025
256,0.1,tanh,0.5719961329315186
256,0.1,relu,0.6201064323430902
256,0.5,tanh,0.5817593768418363
256,0.5,relu,0.6294831119673949
256,0.9,tanh,0.5914589784327801
256,0.9,relu,0.6387631751488418
512,0.1,tanh,0.8277836082661223
512,0.1,relu,0.8544576710630347
512,0.5,tanh,0.8334113864245404
512,0.5,relu,0.8593618742658659
512,0.9,tanh,0.8388910504234147
512,0.9,relu,0.8641271029909058
